ID,Pagina,Sezione,Tipo,Contenuto placeholder attuale,Vincoli/Note,Contenuto cliente
HE13,Home,E - Lavori,Sottotitolo Card,e-commerce · web + seo,"max ~45 caratteri",
HE14,Home,E - Lavori,KPI Card,18k,"max ~8 caratteri",
HF1,Home,F - Studio Teaser,Immagine,team · foto studio (placeholder),"foto team formato 4:5 (800×1000px min) — file HF1.jpg",
HF2,Home,F - Studio Teaser,Sottotitolo,chi siamo,,
HF3,Home,F - Studio Teaser,Titolo,"Un gruppo di golosi con il vizio del buon lavoro.","kinetic (words), maxWidth 18ch",
HF4,Home,F - Studio Teaser,Paragrafo,"Strategist, designer, video-maker e copy che si prendono sul serio solo quando serve. Lavoriamo nel food perché ci piace — e perché nessuno racconta una storia meglio di un piatto fatto bene.","maxWidth 48ch ≈ ~240 caratteri",
HF5,Home,F - Studio Teaser,Voce lista,Gusto prima di tutto,"valore breve — max ~30 caratteri",
HF6,Home,F - Studio Teaser,Voce lista,Dati senza fuffa,"max ~30 caratteri",
HF7,Home,F - Studio Teaser,Voce lista,Mani in pasta,"max ~30 caratteri",
HF8,Home,F - Studio Teaser,Bottone-CTA,Conosci lo studio ↗,,
HG1,Home,G - CTA,Sottotitolo,— a tavola,"eyebrow con dash",
HG2,Home,G - CTA,Titolo,"Hai fame di crescere?","mega class, maxWidth 15ch",
HG3,Home,G - CTA,Paragrafo,"Raccontaci il tuo progetto. Primo confronto offerto dalla casa — caffè incluso, conto mai.","maxWidth 42ch ≈ ~210 caratteri",
HG4,Home,G - CTA,Bottone-CTA,Prenota una call ↗,,
MA1,Metodo,A - Hero,Sottotitolo,— il metodo · per chi vive di coperti,"eyebrow con dash, max ~45 caratteri",
MA2,Metodo,A - Hero,Titolo,"Cinque mosse per riempire i tavoli.","kinetic (lines), maxWidth 15ch",
MA3,Metodo,A - Hero,Paragrafo,"Il Metodo Fooody è il nostro sistema completo per la ristorazione. Non una lista di servizi sciolti: un percorso unico che parte dall'identità e arriva ai numeri.","maxWidth 48ch ≈ ~240 caratteri",
MA4,Metodo,A - Hero,Bottone-CTA,Scopri i 5 pilastri ↓,,
MB1,Metodo,B - Intro,Sottotitolo,il problema,"eyebrow no-slash, max ~20 caratteri",
MB2,Metodo,B - Intro,Titolo,Si mangia benissimo. Ma lo sa solo chi è già entrato.,"kinetic (words), maxWidth 20ch",
MB3,Metodo,B - Intro,Paragrafo,"Il piatto è perfetto, la sala pure. Poi fuori, sul telefono di chi non ti conosce, il tuo ristorante è un puntino tra mille.","maxWidth 54ch ≈ ~270 caratteri",
MC1,Metodo,C - Panoramica,Sottotitolo,il sistema in un colpo d'occhio,"eyebrow, max ~40 caratteri",
MC2,Metodo,C - Panoramica,Titolo,"Cinque pilastri. Un percorso solo.","kinetic (lines), max ~20ch per riga",
MC3,Metodo,C - Panoramica,Paragrafo,Funzionano separati ma danno il meglio insieme. Sotto ogni pilastro si compone mentre scorri.,"maxWidth 32ch",
MC4,Metodo,C - Panoramica,Card pilastro,"Identità / chi sei, prima del menù","link card pilastro 01",
MC5,Metodo,C - Panoramica,Card pilastro,"Social / riempire i tavoli, non il feed","link card pilastro 02",
MC6,Metodo,C - Panoramica,Card pilastro,"Menu engineering / il menù che vende per te","link card pilastro 03",
MC7,Metodo,C - Panoramica,Card pilastro,"Esperienza / dal click all'ultimo boccone","link card pilastro 04",
MC8,Metodo,C - Panoramica,Card pilastro,"Crescita / numeri da mangiare","link card pilastro 05",
MD1,Metodo,D - Scrollytelling,Immagine,immagine pilastro 01 · identità · 4:5,"immagine per pilastro Identità — formato 4:5 (800×1000px min); file MD1.jpg",
MD2,Metodo,D - Scrollytelling,Paragrafo pilastro,"Nome, logo, palette, packaging, font del menù. Diamo al locale una faccia riconoscibile — quella che resta in testa mentre si decide dove cenare stasera.","testo scrolly step 1, max ~180 caratteri",
MD3,Metodo,D - Scrollytelling,Immagine,immagine pilastro 02 · social · 4:5,"file MD3.jpg",
MD4,Metodo,D - Scrollytelling,Paragrafo pilastro,"Contenuti che fanno venire fame e community che prenota davvero. Reel, food photography, calendario editoriale: ogni post ha un coperto come obiettivo.","testo scrolly step 2, max ~180 caratteri",
MD5,Metodo,D - Scrollytelling,Immagine,immagine pilastro 03 · menu · 4:5,"file MD5.jpg",
MD6,Metodo,D - Scrollytelling,Paragrafo pilastro,"Studiamo posizione, prezzi e descrizioni per spingere i piatti giusti. Un menù progettato bene vende di più senza alzare la voce — e nemmeno i prezzi.","testo scrolly step 3, max ~180 caratteri",
MD7,Metodo,D - Scrollytelling,Immagine,immagine pilastro 04 · esperienza · 4:5,"file MD7.jpg",
MD8,Metodo,D - Scrollytelling,Paragrafo pilastro,"Sito veloce, prenotazione in due tap, recensioni gestite, QR del menù che funziona davvero. Tutto quello che succede tra 'ho fame' e 'torno di sicuro'.","testo scrolly step 4, max ~180 caratteri",
MD9,Metodo,D - Scrollytelling,Immagine,immagine pilastro 05 · crescita · 4:5,"file MD9.jpg",
MD10,Metodo,D - Scrollytelling,Paragrafo pilastro,"ADV mirata, analisi dei dati, fidelizzazione. Misuriamo coperti, scontrino medio e ritorno — perché 'andare bene' deve voler dire qualcosa di preciso.","testo scrolly step 5, max ~180 caratteri",
ME1,Metodo,E - Risultati,Sottotitolo,cosa succede dopo,"eyebrow, max ~30 caratteri",
ME2,Metodo,E - Risultati,Titolo,"I conti tornano. Anche quelli belli.","kinetic (lines)",
ME3,Metodo,E - Risultati,Paragrafo,"Medie sui ristoranti seguiti con il Metodo completo nei primi sei mesi. Niente magie, solo metodo.","maxWidth 32ch",
ME4,Metodo,E - Risultati,KPI,+340% / engagement medio,"numero animato — fornire solo il numero",
ME5,Metodo,E - Risultati,KPI,+180% / prenotazioni online,"numero animato",
ME6,Metodo,E - Risultati,KPI,2.4x / copertura nel weekend,"numero decimale animato",
ME7,Metodo,E - Risultati,KPI,+18% / scontrino medio,"numero animato",
MF1,Metodo,F - Case Study,Immagine,case study · cover + reel · 4:5,"immagine copertina case — formato 4:5; file MF1.jpg",
MF2,Metodo,F - Case Study,Titolo,"Trattoria Tale, da insegna a indirizzo.","kinetic (words), maxWidth 16ch",
MF3,Metodo,F - Case Study,Paragrafo,"Identità rifatta, social ripensato, menù ridisegnato e sito con prenotazioni. In sei mesi la trattoria è passata dal passaparola al tutto-esaurito del sabato.","maxWidth 46ch",
MF4,Metodo,F - Case Study,KPI,+340% / engagement,"numero KPI 1",
MF5,Metodo,F - Case Study,KPI,+180% / prenotazioni,"numero KPI 2",
MF6,Metodo,F - Case Study,KPI,6 / mesi,"numero KPI 3",
MG1,Metodo,G - CTA,Sottotitolo,— pronti a ordinare?,"eyebrow con dash",
MG2,Metodo,G - CTA,Titolo,"Mettiamo il Metodo a tavola.","mega class, maxWidth 15ch",
MG3,Metodo,G - CTA,Paragrafo,"Raccontaci il tuo locale. Prima call gratuita: capiamo se c'è feeling — e da dove partire.","maxWidth 42ch",
MG4,Metodo,G - CTA,Bottone-CTA,Prenota una call ↗,,
SA1,Social,A - Hero,Sottotitolo,— social media · food & oltre,"eyebrow no-slash, max ~40 caratteri",
SA2,Social,A - Hero,Titolo,Contenuti che fermano il pollice.,"mega kinetic (lines)",
SA3,Social,A - Hero,Paragrafo,"Strategia, contenuti e community che non fanno scrollare oltre. Dal reel che gira alla campagna che converte: pensiamo, giriamo, pubblichiamo, misuriamo.","maxWidth 46ch",
SA4,Social,A - Hero,Bottone-CTA,Prenota una call ↗,,
SA5,Social,A - Hero,Bottone-secondario,Guarda il feed ↓,,
SA6,Social,A - Hero,Video miniatura,reel · 0:14,"placeholder video reel 1 — sostituire con reel reale; file SA6.mp4",
SA7,Social,A - Hero,Video miniatura,carosello · ×7,"placeholder video reel 2; file SA7.mp4",
SA8,Social,A - Hero,Video miniatura,UGC · cliente,"placeholder video reel 3; file SA8.mp4",
SB1,Social,B - Feed,Sottotitolo,il feed vivo,"eyebrow, max ~30 caratteri",
SB2,Social,B - Feed,Titolo,"Non un portfolio. Un feed che respira.","kinetic (lines)",
SB3,Social,B - Feed,Paragrafo,"Passa sopra per fermarlo. Ogni tessera è un format che produciamo davvero — reel, caroselli, UGC, copertine. Tre righe, tre ritmi.","maxWidth 32ch",
SB4,Social,B - Feed,KPI,5M / views sul reel top,"numero animato — fornire il numero",
SB5,Social,B - Feed,KPI,+28k / community in 4 mesi,"numero animato",
SB6,Social,B - Feed,KPI,+340% / engagement medio,"numero animato",
SB7,Social,B - Feed,KPI,12/mese / contenuti in pubblicazione,"numero animato",
SC1,Social,C - Cosa facciamo,Titolo,"Cinque mosse. Un solo feed.","kinetic (lines)",
SC2,Social,C - Cosa facciamo,Tab servizio 1,Strategia & posizionamento,"button tab — titolo servizio 1, max ~30 caratteri",
SC3,Social,C - Cosa facciamo,Pannello servizio 1,"prima il perché, poi il post — Tono di voce, pilastri di contenuto, calendario.","testo pannello reel servizio 1",
SC4,Social,C - Cosa facciamo,Tab servizio 2,Content & format,"button tab 2, max ~30 caratteri",
SC5,Social,C - Cosa facciamo,Pannello servizio 2,"il contenuto che ferma il pollice — Food photography, grafiche, copertine, copy.","testo pannello reel servizio 2",
SC6,Social,C - Cosa facciamo,Tab servizio 3,Reels & UGC,"button tab 3, max ~30 caratteri",
SC7,Social,C - Cosa facciamo,Pannello servizio 3,"il motore della crescita organica — Riprese, montaggio, trend.","testo pannello reel servizio 3",
SC8,Social,C - Cosa facciamo,Tab servizio 4,ADV & performance,"button tab 4, max ~30 caratteri",
SC9,Social,C - Cosa facciamo,Pannello servizio 4,"quando serve spingere, spingiamo bene — Campagne Meta e TikTok.","testo pannello reel servizio 4",
SC10,Social,C - Cosa facciamo,Tab servizio 5,Community & report,"button tab 5, max ~30 caratteri",
SC11,Social,C - Cosa facciamo,Pannello servizio 5,"le persone, non i follower — Gestione DM e commenti, moderazione, report mensile.","testo pannello reel servizio 5",
SD1,Social,D - Proof,Sottotitolo,— numeri non sensazioni,"eyebrow no-slash, max ~30 caratteri",
SD2,Social,D - Proof,Titolo,"Quello che pubblichiamo, lo misuriamo.","kinetic (words), maxWidth 18ch",
SD3,Social,D - Proof,KPI,+340% / engagement medio · 6 mesi,"numero animato",
SD4,Social,D - Proof,KPI,5M / views sul reel più virale,"numero animato",
SD5,Social,D - Proof,KPI,+28k / nuova community in 4 mesi,"numero animato",
SD6,Social,D - Proof,KPI,3.1x / ritorno sulla spesa ADV,"numero decimale animato",
SE1,Social,E - Case Study,Sottotitolo,caso · food brand,"eyebrow, max ~25 caratteri",
SE2,Social,E - Case Study,Immagine,case · reel + feed · 4:5,"immagine copertina case — formato 4:5; file SE2.jpg",
SE3,Social,E - Case Study,Titolo,Da feed spento a 5 milioni di views.,"kinetic (words), maxWidth 16ch",
SE4,Social,E - Case Study,Paragrafo,"Strategia rifatta, format nuovi, un reel al giorno per 90 giorni. In quattro mesi il brand è passato dal post di cortesia alla coda fuori dal punto vendita.","maxWidth 46ch",
SE5,Social,E - Case Study,KPI,5M / views,"KPI 1",
SE6,Social,E - Case Study,KPI,+28k / community,"KPI 2",
SE7,Social,E - Case Study,KPI,4 / mesi,"KPI 3",
SF1,Social,F - CTA,Sottotitolo,— pronti a postare?,"eyebrow no-slash",
SF2,Social,F - CTA,Titolo,Facciamo girare il tuo feed.,"mega kinetic",
SF3,Social,F - CTA,Paragrafo,"Raccontaci il brand. Prima call gratuita: guardiamo i numeri di oggi e da dove far partire la crescita.","maxWidth 42ch",
SF4,Social,F - CTA,Bottone-CTA,Prenota una call ↗,,
SF5,Social,F - CTA,Bottone-secondario,ciao@fooody.it,,
WA1,Web,A - Hero,Sottotitolo,— web design · ux · sviluppo,"eyebrow no-slash, max ~40 caratteri",
WA2,Web,A - Hero,Titolo,"Siti che convertono. Non solo che si guardano.","mega kinetic (lines), maxWidth 16ch",
WA3,Web,A - Hero,Paragrafo,"UX, UI, sviluppo e SEO sotto lo stesso tetto. Costruiamo siti veloci, belli e onesti — dove il bottone giusto è sempre a portata di pollice.","maxWidth 48ch",
WA4,Web,A - Hero,Bottone-CTA,Prenota una call ↗,,
WB1,Web,B - Anteprima,Sottotitolo,anteprima dal vivo,"eyebrow, max ~25 caratteri",
WB2,Web,B - Anteprima,Titolo,"Un sito che sta bene ovunque.","h2, maxWidth 22ch",
WB3,Web,B - Anteprima,Paragrafo,"Stessa pagina, tre viewport. Il layout si ricompone, non si rompe.","maxWidth 30ch",
WC1,Web,C - Come lavoriamo,Sottotitolo,come lavoriamo,"eyebrow, max ~25 caratteri",
WC2,Web,C - Come lavoriamo,Titolo,Dal brief al deploy.,"kinetic (lines)",
WC3,Web,C - Come lavoriamo,Paragrafo,"Un processo in quattro tappe. Niente sorprese in fattura, niente 'ci pensiamo dopo'.","maxWidth 34ch",
WC4,Web,C - Come lavoriamo,Card step 1,"Strategia & UX — prima capiamo dove deve cliccare","card del passo 1 (titolo + sub + desc in rotazione) — I testi dei 4 step appaiono in rotazione: vedere WC4–WC7",
WC5,Web,C - Come lavoriamo,Card step 2,"UI & design system — bello, ma con un sistema dietro","card del passo 2",
WC6,Web,C - Come lavoriamo,Card step 3,Sviluppo & CMS — codice pulito gestibile da te,"card del passo 3",
WC7,Web,C - Come lavoriamo,Card step 4,SEO & performance — veloce e trovabile sul serio,"card del passo 4",
WD1,Web,D - Stack,Sottotitolo,cosa sappiamo costruire,"eyebrow, max ~30 caratteri",
WD2,Web,D - Stack,Titolo,Dal sito vetrina all'e-commerce con mille referenze.,"kinetic (words), maxWidth 20ch",
WD3,Web,D - Stack,Card capacità 1,"vetrina — Siti istituzionali e landing che presentano bene e caricano in fretta.","card capacità vetrina",
WD4,Web,D - Stack,Card capacità 2,"e-commerce — Negozi online con checkout in due step, pagamenti e logistica integrati.","card capacità e-commerce",
WD5,Web,D - Stack,Card capacità 3,"prenotazioni — Sistemi di booking per ristoranti, eventi e servizi — senza intermediari.","card capacità prenotazioni",
WD6,Web,D - Stack,Card capacità 4,"web app — Strumenti su misura: gestionali, dashboard, configuratori di prodotto.","card capacità web app",
WE1,Web,E - Case Study,Sottotitolo,caso · e-commerce,"eyebrow, max ~25 caratteri",
WE2,Web,E - Case Study,Immagine,case · sito + checkout · 4:5,"immagine copertina case — formato 4:5; file WE2.jpg",
WE3,Web,E - Case Study,Titolo,Da zero a 18k visite al mese.,"kinetic (words), maxWidth 16ch",
WE4,Web,E - Case Study,Paragrafo,"Nuovo e-commerce, checkout ridisegnato in due step, SEO da capo. In sei mesi il negozio è passato dal 'ce l'abbiamo anche online' a primo canale di vendita.","maxWidth 46ch",
WE5,Web,E - Case Study,KPI,18k / visite/mese,"KPI 1",
WE6,Web,E - Case Study,KPI,+64% / conversione,"KPI 2",
WE7,Web,E - Case Study,KPI,0.9s / caricamento,"KPI 3",
WF1,Web,F - CTA,Sottotitolo,— pronti a costruire?,"eyebrow no-slash",
WF2,Web,F - CTA,Titolo,Mettiamo online qualcosa di buono.,"mega kinetic",
WF3,Web,F - CTA,Paragrafo,"Raccontaci il progetto. Prima call gratuita: capiamo cosa serve davvero e cosa no.","maxWidth 42ch",
WF4,Web,F - CTA,Bottone-CTA,Prenota una call ↗,,
WF5,Web,F - CTA,Bottone-secondario,ciao@fooody.it,,
BA1,Branding,A - Hero,Sottotitolo,— branding · identità & packaging,"eyebrow no-slash, max ~45 caratteri",
BA2,Branding,A - Hero,Titolo,Riconoscibili a prima vista.,"mega kinetic (lines), maxWidth 15ch",
BA3,Branding,A - Hero,Paragrafo,"Strategia, naming, identità visiva e packaging. Diamo al tuo brand una faccia, una voce e un carattere — di quelli che non si scordano facilmente.","maxWidth 48ch",
BA4,Branding,A - Hero,Bottone-CTA,Prenota una call ↗,,
BB1,Branding,B - Brand Board,Sottotitolo,il sistema assemblato,"eyebrow, max ~25 caratteri",
BB2,Branding,B - Brand Board,Titolo,"Un'identità non è un logo. È un sistema.","kinetic (lines)",
BB3,Branding,B - Brand Board,Paragrafo,"Nome, colori, tipografia, packaging: tutto parla la stessa lingua.","maxWidth 32ch",
BB4,Branding,B - Brand Board,Immagine,mockup · etichetta (placeholder),"mockup packaging — sostituire con immagine reale; file BB4.jpg",
BC1,Branding,C - Cosa facciamo,Sottotitolo,cosa facciamo,"eyebrow, max ~20 caratteri",
BC2,Branding,C - Cosa facciamo,Titolo,Dalla strategia al lancio.,"kinetic (lines)",
BC3,Branding,C - Cosa facciamo,Paragrafo,Quattro tappe per costruire un marchio coerente — dentro e fuori dal piatto.,"maxWidth 34ch",
BC4,Branding,C - Cosa facciamo,Titolo Card 1,Strategia di marca,"card title, max ~30 caratteri",
BC5,Branding,C - Cosa facciamo,Sottotitolo Card 1,"cosa sei, per chi, e perché ti scelgono","mono subtitle, max ~50 caratteri",
BC6,Branding,C - Cosa facciamo,Paragrafo Card 1,"Posizionamento, valori, pubblico, archetipo. Le fondamenta su cui poggia ogni scelta visiva successiva.","max ~150 caratteri",
BC7,Branding,C - Cosa facciamo,Titolo Card 2,Naming & voce,"max ~30 caratteri",
BC8,Branding,C - Cosa facciamo,Sottotitolo Card 2,il nome giusto e come lo dici,"max ~50 caratteri",
BC9,Branding,C - Cosa facciamo,Paragrafo Card 2,"Naming, tagline, tono di voce, verifica di disponibilità. Un nome che si pronuncia, si ricorda e si trova.","max ~150 caratteri",
BC10,Branding,C - Cosa facciamo,Titolo Card 3,Identità visiva,"max ~30 caratteri",
BC11,Branding,C - Cosa facciamo,Sottotitolo Card 3,"logo, colori, tipografia, sistema","max ~50 caratteri",
BC12,Branding,C - Cosa facciamo,Paragrafo Card 3,"Marchio, palette, font, griglie e linee guida. Un sistema che resta coerente dal biglietto da visita all'insegna.","max ~150 caratteri",
BC13,Branding,C - Cosa facciamo,Titolo Card 4,Packaging & stampa,"max ~30 caratteri",
BC14,Branding,C - Cosa facciamo,Sottotitolo Card 4,il brand che prendi in mano,"max ~50 caratteri",
BC15,Branding,C - Cosa facciamo,Paragrafo Card 4,"Etichette, confezioni, menù, materiali stampati. L'identità che diventa oggetto — pronta per lo scaffale.","max ~150 caratteri",
BD1,Branding,D - Elementi,Sottotitolo,gli elementi che consegniamo,"eyebrow, max ~30 caratteri",
BD2,Branding,D - Elementi,Titolo,Tutto quello che serve per essere un brand.,"kinetic (words), maxWidth 18ch",
BD3,Branding,D - Elementi,Descrizione colore,Palette primaria secondaria e neutri — con i codici per ogni supporto.,"testo tile colore",
BD4,Branding,D - Elementi,Descrizione tipografia,"Famiglia display e da testo, scala tipografica, regole d'uso.","testo tile tipografia",
BD5,Branding,D - Elementi,Descrizione marchio,"Logo principale, versioni, area di rispetto e dimensioni minime.","testo tile marchio",
BE1,Branding,E - Case Study,Sottotitolo,caso · rebranding,"eyebrow, max ~20 caratteri",
BE2,Branding,E - Case Study,Immagine,case · identità + packaging · 4:5,"immagine copertina case — formato 4:5; file BE2.jpg",
BE3,Branding,E - Case Study,Titolo,Dal brief al lancio in otto settimane.,"kinetic (words), maxWidth 16ch",
BE4,Branding,E - Case Study,Paragrafo,"Rebranding completo: nuovo nome, identità da zero, sistema di packaging per tutta la linea. Otto settimane dal primo schizzo al prodotto sullo scaffale.","maxWidth 46ch",
BE5,Branding,E - Case Study,KPI,8 / settimane,"KPI 1",
BE6,Branding,E - Case Study,KPI,12 / referenze,"KPI 2",
BE7,Branding,E - Case Study,KPI,+45% / a scaffale,"KPI 3",
BF1,Branding,F - CTA,Sottotitolo,— pronti a farvi riconoscere?,"eyebrow no-slash",
BF2,Branding,F - CTA,Titolo,Diamo una faccia al tuo brand.,"mega kinetic",
BF3,Branding,F - CTA,Paragrafo,"Raccontaci chi sei. Prima call gratuita: capiamo cosa rende il tuo marchio diverso dagli altri.","maxWidth 42ch",
BF4,Branding,F - CTA,Bottone-CTA,Prenota una call ↗,,
BF5,Branding,F - CTA,Bottone-secondario,ciao@fooody.it,,
TA1,Studio,A - Hero,Sottotitolo,— chi siamo · studio,"eyebrow no-slash, max ~30 caratteri",
TA2,Studio,A - Hero,Titolo,Testa cuore e metodo.,"mega kinetic (lines)",
TA3,Studio,A - Hero,Paragrafo,"Strategist, designer, video-maker e copy che si prendono sul serio solo quando serve. Siamo nel food perché ci piace — e lavoriamo con qualsiasi brand abbia qualcosa di vero da dire.","maxWidth 46ch",
TA4,Studio,A - Hero,Immagine,foto · studio / team (placeholder),"foto studio/team — formato 4:5; file TA4.jpg",
TA5,Studio,A - Hero,Bottone-CTA,Lavoriamo insieme ↗,,
TB1,Studio,B - Numeri,KPI,5 anni / nel settore food,"numero animato — fornire solo il numero",
TB2,Studio,B - Numeri,KPI,+40 / clienti serviti,"numero animato",
TB3,Studio,B - Numeri,KPI,8 / persone nel team,"numero animato",
TB4,Studio,B - Numeri,KPI,+340% / engagement medio · 6 mesi,"numero animato",
TC1,Studio,C - Manifesto,Titolo,Il food non si vende. Si fa desiderare.,"kinetic (words), maxWidth 18ch",
TC2,Studio,C - Manifesto,Paragrafo 1,"Crediamo che dietro ogni piatto, ogni brand e ogni scroll ci sia una persona affamata di qualcosa di buono. Il nostro lavoro è apparecchiare la tavola giusta — con metodo, gusto e un pizzico di sfacciatosta.","maxWidth 54ch",
TC3,Studio,C - Manifesto,Paragrafo 2,"Non facciamo contenuti per riempire un calendario. Facciamo contenuti per riempire una sala. C'è differenza — e si vede nei numeri.","maxWidth 54ch",
TD1,Studio,D - Team,Titolo,Le persone dietro i progetti.,"kinetic (lines)",
TD2,Studio,D - Team,Paragrafo,"Otto persone, un obiettivo. Ognuno con la propria specialità — tutti con lo stesso obiettivo.","maxWidth 32ch",
TD3,Studio,D - Team,Immagine membro 1,ritratto · fondatore (placeholder),"foto ritratto fondatore — formato 3:4 o quadrato; file TD3.jpg",
TD4,Studio,D - Team,Nome membro 1,Nome Cognome,"nome reale del fondatore, max ~40 caratteri",
TD5,Studio,D - Team,Ruolo membro 1,Founder & Strategist,"ruolo, max ~30 caratteri",
